attendance_bucket,Category,Borough,Location,Event Name,Event Type,time_of_day,day_type,audience_1,audience_2,audience_3,audience_4,audience_5,audience_6,audience_7,audience_8
med_attendance,Fitness,Bronx,Williamsbridge Oval Park,Chair Arobics,Community Based Event,morning_time,weekday,young_adult_audience,adults_audience,teens_audience,adaptive_audience,seniors_audience,general_public_audience,,
med_attendance,Fitness,Bronx,Williamsbridge Oval Park,Spin 2020,Community Based Event,morning_time,weekday,young_adult_audience,adults_audience,teens_audience,adaptive_audience,seniors_audience,general_public_audience,,
med_attendance,Fitness,Bronx,Williamsbridge Oval Park,Spin 2020,Community Based Event,morning_time,weekday,young_adult_audience,adults_audience,teens_audience,adaptive_audience,seniors_audience,general_public_audience,,
med_attendance,Fitness,Brooklyn,St. John's Park,Summer 2020 Outdoor Program,Agency Produced Event,morning_time,weekday,adults_audience,seniors_audience,general_public_audience,,,,,
unknown_attendance,Fitness,Bronx,Soundview Park,Mindful Play,Agency Produced Event,afternoon_time,weekday,children_audience,,,,,,,
low_attendance,Fitness,Brooklyn,McKinley Park,Fitness,Local Event,morning_time,weekday,young_adult_audience,,,,,,,
med_attendance,Sport,Brooklyn,Coffey Park,Youth Summer Pop Up Recreation,Local Event,morning_time,weekday,tot_audience,children_audience,,,,,,
med_attendance,Fitness,Brooklyn,McKinley Park,Rhythm & Weightd,Local Event,morning_time,weekday,adults_audience,young_adult_audience,,,,,,
med_attendance,Sport,Brooklyn,McKinley Park,Soccer,Local Event,afternoon_time,weekday,children_audience,,,,,,,
low_attendance,Fitness,Brooklyn,McKinley Park,TABATA,Local Event,afternoon_time,weekday,young_adult_audience,,,,,,,
low_attendance,Fitness,Brooklyn,St. John's Park,Summer 2020 Outdoor Program,Agency Produced Event,morning_time,weekday,adults_audience,seniors_audience,general_public_audience,,,,,
med_attendance,Fitness,Brooklyn,Leif Ericson Park,Pick Up Pickle Ball,Local Event,morning_time,weekday,seniors_audience,,,,,,,
med_attendance,Sport,Manhattan,Highbridge Park,KIM Outdoor Programming,Community Based Event,morning_time,weekday,tot_audience,children_audience,teens_audience,,,,,
